New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
NVDA,NVIDIA Corp.,205.10,100.00,5004440.55,BBG000BBJQV0,2026-04-30,TECH,SEMIMFR,-3.03,70.68,110.34,31.41,22.97,0.90,0.49,
AAPL,"Apple, Inc.",307.34,99.98,4561045.30,BBG000B9XRY4,2026-03-31,TECH,COMMEQUIP,6.92,12.76,29.01,37.18,35.12,3.59,0.35,
GOOGL,"Alphabet, Inc.",368.53,99.95,4469947.50,BBG009S39JX6,2026-03-31,TECH,INTERNET,-7.40,17.77,46.19,28.11,25.91,3.14,0.24,
MSFT,Microsoft Corp.,416.67,99.93,3096848.81,BBG000BPH459,2026-03-31,TECH,SOFTW,-0.97,17.87,29.75,24.82,24.80,3.03,0.87,
AMZN,"Amazon.com, Inc.",246.03,99.90,2646571.61,BBG000BVPV84,2026-03-31,NONCYCLICAL,GENMERCH,-9.27,14.22,36.48,29.40,27.98,2.19,0.00,
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd.",415.17,99.88,1854646.75,BBG000BD8ZK0,2026-03-31,TECH,SEMIEQUIPSVCE,0.25,37.40,54.80,34.50,26.46,0.92,0.85,
AVGO,Broadcom Inc.,385.73,99.85,1814269.99,BBG00KHY5S69,2026-01-31,TECH,SEMIMFR,-6.50,25.22,147.26,75.24,33.60,0.61,0.67,
META,"Meta Platforms, Inc.",593.00,99.83,1494887.27,BBG000MM2P62,2026-03-31,TECH,INTERNET,-3.86,26.18,7.29,21.56,18.02,1.20,0.35,
TSLA,"Tesla, Inc.",391.00,99.80,1467200.87,BBG000N9MNX3,2026-03-31,CYCLICALS,VEHICLE,-5.05,2.25,-39.81,357.21,207.38,13.06,0.00,
LLY,Eli Lilly & Co.,1131.42,99.78,1065505.09,BBG000BNBDC2,2026-03-31,HEALTHCARE,BIOPHARMASYS,16.05,47.44,130.14,40.73,30.91,2.08,0.61,
BRK.B,"Berkshire Hathaway, Inc.",488.13,99.75,1053479.05,BBG000DWG505,2026-03-31,FINANCIAL,INSURANCE,2.75,1.11,-10.48,14.53,23.54,N/A,0.00,
MU,"Micron Technology, Inc.",864.01,99.73,972313.43,BBG000C5Z1S3,2026-02-28,TECH,SEMIMFR,33.62,85.55,409.13,40.79,14.64,0.10,0.07,
WMT,"Walmart, Inc.",118.88,99.70,947493.43,BBG000BWXBC2,2026-04-30,NONCYCLICAL,GENMERCH,-8.69,5.87,21.78,41.88,40.93,5.73,0.83,
JPM,JPMorgan Chase & Co.,312.37,99.68,850353.03,BBG000DMBXR2,2026-03-31,FINANCIAL,BANKSUSA,1.99,1.33,2.48,14.96,14.03,1.54,1.92,
AMD,"Advanced Micro Devices, Inc.",466.38,99.65,760391.04,BBG000BBQCY0,2026-03-31,TECH,SEMIMFR,14.18,34.97,123.35,153.06,62.46,0.82,0.00,
ASML,ASML Holding NV,1641.74,99.63,643773.81,BBG000K6MRN4,2026-03-31,TECH,SEMIEQUIPSVCE,8.25,18.56,26.42,54.69,43.96,1.86,0.54,
